et_title_product_id,et_title_product_name,et_title_variation_id,et_title_variation_name,et_title_parent_sku,et_title_variation_sku,et_title_variation_price,ps_direct_listing_price.SG,ps_gtin_code,et_title_variation_stock,ps_cc_installment,ps_cci_tenures,ps_minimum_purchase_quantity,ps_maximum_purchase_quantity,ps_maximum_purchase_quantity_start_date,ps_maximum_purchase_quantity_time_period,ps_maximum_purchase_quantity_end_date,CustomizeName
sales_info,e247b29d9ff7fabcf8e11b1158bb7444,0,439776091,"{""search_condition"":{}}",,,,,,,,,,,,,
商品ID,商品名称,规格编号,名称,主商品货号,商品货号,价格,直营商品价格:SG,GTIN,库存,cc installment,tenures,最低购买数量,最高购买量,最高购买量 - 开始日期,最高购买量 - 时间段（按天）,最高购买量 - 循环时间段结束时间,自定义名称
,,,,,,必填,必填,,必填,必填,,,,,,,
,,,,,,,如果您已打开主要和直营商品货号的价格同步功能，若手动输入模板的金额与直营商店价格转换公式计算的金额存在任何差异，前者将优先于后者。,,,,,,,,,,
,,,,,,请输入 0.10 到 1000000000.00 的商品价格。商品规格的最高与最低价格相差倍数限制为: 7.00,请输入 0.10 至 999999.00 的商品价格。最贵商品的价格除以最便宜商品的价格上限：5.00。,,,"If need to open cc installment, the price of item(at least one model) must bigger than 0","cc installment tenure, if cc installment off, This field will be ignored. Available tenure list is 3,6,12,18,24,36",MPQ是商品级别栏位。买家可下单购买不同规格的商品以达到最低购买量。若留白，MPQ将预设为1。请注意，若库存少于MPQ，买家将无法下单。,"[每份订单+每一时间段] 它限制每位买家在每份订单或每一时间段中可购买的一件商品的总量。请输入1至999,999。",[仅每一时间段] 请选择一个MaxPQ开始日期。最早的开始日期是明天。请输入格式为YYYY-MM-DD的日期。,[仅每一时间段] 最高购买量限制将在该时间段后结束（按天）。请输入从1至365。（每一时间段）,[仅每一时间段] 若选择循环，需输入一个结束日期。该结束日期必须乘以时间段。若时间段是7天，意味着结束日期必须是7的倍数。循环倍数不可大于30。例：7，14，21。请输入格式为YYYY-MM-DD的日期。,
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,330618267893,Memo Girl,,CARTOONMEMOGIR,1.40,1.00,,48,On,"3,6,12,18",1,,,,,Cute Cartoon Girl Sticky Notes Memo Girl
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,335618268016,Cat Girl,,CARTOONCATGIRL,1.40,1.00,,48,,,,,,,,Cute Cartoon Girl Sticky Notes Cat Girl
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,335618268017,Band Girl,,CARTOONBANDGIR,1.40,1.00,,48,,,,,,,,Cute Cartoon Girl Sticky Notes Band Girl
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,330618267890,Cookie Girl,,CARTOONCOOKIEG,1.40,1.00,,48,,,,,,,,Cute Cartoon Girl Sticky Notes Cookie Girl
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,330618267891,Butterfly Catch Girl,,CARTOONBUTTERF,1.40,1.00,,48,,,,,,,,Cute Cartoon Girl Sticky Notes Butterfly Catch Girl
58156915726,Cute Cartoon Girl Sticky Notes Memo Pad | Nota Lekat Kawaii Cartoon Memo Notes | 80 Sheets Student Office Reminder Note,330618267892,Happy Girl,,CARTOONHAPPYGI,1.40,1.00,,48,,,,,,,,Cute Cartoon Girl Sticky Notes Happy Girl
56502350312,Transparent Big Acrylic Hair Claw Clip - Strong Grip Square Shark Clip for Women Girls Clear Ponytail  Bun Clamp,420227082650,Shark Clip,,TRANSPARSHARKCL,2.20,1.50,,28,On,"3,6,12,18",1,,,,,Transparent Big Acrylic Hair Claw Shark Clip
56502350312,Transparent Big Acrylic Hair Claw Clip - Strong Grip Square Shark Clip for Women Girls Clear Ponytail  Bun Clamp,420227082649,Hair Claw Clip,,TRANSPARHAIRCLA,2.20,1.50,,3,,,,,,,,Transparent Big Acrylic Hair Claw Hair Claw Clip
